PRODUCT_ID,PRODUCT_NAME,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL,STYLE,SIZE,SwatchColors,BaseProduct
300079332,The Sentry all black Uni,,137.66,340000|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w0NjE4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd6TXk5b1pqQXZPRGM1TmpnMk1USTJOems1T0M1cWNHY3w2MzYxNWEzNDc5NTViMDcyY2FhNzIzN2UyYjUzNDRhMGI0NWRkYmY0MTYxZTI4M2YwYjEwZjVhN2I1NGYzMzky,,,,43339
300649633,The Lodown rasta Uni,,105.26,340000|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w1NjcyfGltYWdlL2pwZWd8YVcxaFoyVnpMMmc1WkM5b1lUQXZPRGM1TmpnMk1UVTVOVFkzT0M1cWNHY3wzZTkwY2E2OTFmYjM3ODkyZmMxNmJlOWEwMTQyNDdiM2I4ZDhhYzY2MGE0Mzg0MTJkZjYyZjczYTc0MzQxOTVj,,,,129704
300028090,The Rotolog TEAK Uni,,242.96,340000|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w0MzI0fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd6TWk5b01ESXZPRGM1TmpnMk1Ua3lNek0xT0M1cWNHY3xjNTA5OWZmMmUyNGQ0Yjk5M2Q5ODhkN2IxNWE3NTZiNWRhYTZmZDkzN2M4OGRmNzc0Mzk2MzZiYWVlY2I4Mzgx,,,,29160
300464995,Nightlife T-Shirt Women violet M,,64.76,260100|streetwear|Horsefeathers,/medias/?context=bWFzdGVyfGltYWdlc3wyODA0fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhrTkM5b05qVXZPRGM1TmpnMk1qSTFNVEF6T0M1cWNHY3wxN2ZiNDY4ZjAzZWM0YzlkN2IyNWM1YmUwODMwZTJiNzY3NjFiYzQxYTJjNjUxYTIyYzk2ZTU2MWZhMzY3MWI1,,,,104176
300495181,Multilogo Good Looking SS Women heather grey S,,17.78,260100|streetwear|Roxy,/medias/?context=bWFzdGVyfGltYWdlc3wzNzg5fGltYWdlL2pwZWd8YVcxaFoyVnpMMmcxTlM5b01EVXZPRGM1TmprMU5UY3dOVE0zTkM1cWNHY3wwNWRjZDBhMTRlMTlkNWI1YTJiZmYxOTBiNTk0ZjFhOGNiZjMyY2E2Njc4MDljZjFjY2QwZjM2NGRjNDQ4Nzk5,,,,108803
300760752,Girl On Feather Tank Top Women coco L,,28.31,261800|streetwear|Element,/medias/?context=bWFzdGVyfGltYWdlc3wyNjUxfGltYWdlL2pwZWd8YVcxaFoyVnpMMmd6TlM5b1lUY3ZPRGM1TmpnMk5ESXhOekV4T0M1cWNHY3xkYTRiNDZmOWI2YzhiZmM2NzAwNGEyNGM2YzFlMTFiMjM4ZjQ0M2NmY2NiNDIwZWNhNzc0NWU1YTQ2NDE0NTRl,,,,143906
300589206,Shield Tee SS Women onyx L,,28.31,260100|streetwear|Vans,/medias/?context=bWFzdGVyfGltYWdlc3w0NjM1fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhsWmk5b1lqSXZPRGM1TmpnMk5EVTBORGM1T0M1cWNHY3w1MjdmZjY2MmNmM2ZmNmYyYzgyMjQzMWY3Njg0ZWFlZmZhOWFkMDUwNzRkOGU2N2Y5MjNkYTY3ZTVmODdjYjI3,,,,121048
300613249,Eclipse Tee SS black L,,24.26,250100|streetwear|Billabong,/medias/?context=bWFzdGVyfGltYWdlc3w0MDA0fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhqWkM5b1ltSXZPRGM1TmpnMk5qRTRNekU1T0M1cWNHY3xhMmJiY2RjOTM0YmUxMjQzOGFlZDEwYmI2MTBhNzI4MDdjMjRkODU0ZmMwNDY4NzBiNWVlYmI1NWQwZWU3NWMx,,,,122320
300737268,System Tee SS aquatic blue S,,21.83,250100|streetwear|Billabong,/medias/?context=bWFzdGVyfGltYWdlc3wzOTE5fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhqTmk5b05qa3ZPRGM1TmpnM01EUTBNekF6T0M1cWNHY3xlN2RmOTVlNDA3MDlkMTYwMDUyZmNmMDAzZjdjNWIwNWJlZmY1Y2IyZmY3NjE4N2VhMjAxNmI0ZDlhNTllZjQ0,,,,122312
300613329,Because Tee SS black L,,28.31,250100|streetwear|Billabong,/medias/?context=bWFzdGVyfGltYWdlc3w0MTQ4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd5TVM5b00ySXZPRGM1TmpnM01qQTRNVFF6T0M1cWNHY3xmYTFhNjE1ZjcyMWVjM2ZiNTg3YTkzZTM5MWY5MjIxZDMyOTUwNTkyMDFjNjc0MWZhZDY0NzY4ZWMwMGNmN2Yw,,,,122333
